"_id",text
5b6b316825dba37e949d0303,@Ceeyajack1 the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die tod… https://t.co/PUWg04D6Hg
5b6b316825dba37e949d0305,Cuomo and deBlasio have ruined NY. All for the sake of illegals  https://t.co/YEqKHWEzvi
5b6b316825dba37e949d0312,@KGROUPCONFESS How can someone say one are the best rapper in kpop when she is listening only to them? https://t.co/yoh0ptmOVT
5b6b316825dba37e949d0313,@wylanvanheck She is!!! Also she’s twice as pretty in person so that was overwhelming af lol
5b6b316825dba37e949d0315,@ApPollyPolly_ the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die… https://t.co/iQuBOtO4WW
5b6b316825dba37e949d0318,"#24hoursoftacos has blown past its fundraising goal twice. Thank you for that. So we've increased it, all to benefi… https://t.co/4p9LuGoeYR"
5b6b316825dba37e949d031d,that's so sad
5b6b316825dba37e949d0322,I liked a @YouTube video https://t.co/KjUdN1vIBY KPOP TRY NOT TO LAUGH CHALLENGE #32
5b6b316825dba37e949d0327,@coreyalexande12 the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i di… https://t.co/GCOI7WkOCp
5b6b316825dba37e949d032b,they solo stan him
5b6b316825dba37e949d032c,And the Oscar for Best Unpopular Picture goes to
5b6b316825dba37e949d0337,Football recruit CJ Harris (GA)\npleads with college coaches to see past his medical cannabis medication https://t.co/l1sqQh2l88
5b6b316825dba37e949d0338,@Jolerkumar1 the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die to… https://t.co/Cv0nsveSOh
5b6b316825dba37e949d0339,bts isn’t the only band that’s talented
5b6b316825dba37e949d0341,After the amount of hate we get from other kpop fandoms it really makes me happy to see #ARMYZQUADStreamingParty on… https://t.co/ODkNVKbosf
5b6b316825dba37e949d0342,Happy Minhyun day !❤️🎉\n\n@WannaOne_twt #WANNAONE #Minhyunday
5b6b316825dba37e949d0345,Don’t nothing come easy my way ‘ I gotta break my damn back twice over every little thing ...
